,Battery,Acceleration,Top Speed,Range,Efficiency,Fast Charge
Audi Q4 Sportback e-tron 35,51.5,9.0 sec,160 km/h,295 km,175 Wh/km,410
Audi e-tron S Sportback 55 quattro,86.5,4.5 sec,210 km/h,335 km,258 Wh/km,540
Nissan Ariya 63kWh,63,7.5 sec,160 km/h,335 km,188 Wh/km,450
Porsche Taycan ,71,5.4 sec,230 km/h,395 km,180 Wh/km,790
Nissan Ariya e-4ORCE 87kWh,87,5.7 sec,200 km/h,420 km,207 Wh/km,500
Hyundai IONIQ 5 Standard Range AWD,58,6.1 sec,185 km/h,305 km,190 Wh/km,710
JAC iEV7s ,39,12.0 sec,132 km/h,225 km,173 Wh/km,160
Kia e-Soul 39 kWh,39.2,9.9 sec,157 km/h,230 km,170 Wh/km,220
Porsche Taycan Turbo S Cross Turismo,83.7,2.9 sec,250 km/h,380 km,220 Wh/km,790
Peugeot e-Rifter Standard 50 kWh,45,11.7 sec,135 km/h,200 km,225 Wh/km,270
Nissan Ariya e-4ORCE 87kWh Performance,87,5.1 sec,200 km/h,385 km,226 Wh/km,460
Toyota PROACE Verso L 75 kWh,65,13.1 sec,130 km/h,250 km,260 Wh/km,290
Citroen e-SpaceTourer M 50 kWh,45,12.1 sec,130 km/h,180 km,250 Wh/km,240
Opel Zafira-e Life L 75 kWh,65,13.3 sec,130 km/h,250 km,260 Wh/km,290
Peugeot e-Rifter Long 50 kWh,45,11.7 sec,135 km/h,195 km,231 Wh/km,260
Peugeot e-Traveller Long 75 kWh,68,13.3 sec,130 km/h,260 km,262 Wh/km,280
Mercedes EQV 300 Extra-Long,90,12.1 sec,160 km/h,320 km,281 Wh/km,280
Citroen e-SpaceTourer M 75 kWh,65,13.3 sec,130 km/h,250 km,260 Wh/km,290
Opel Zafira-e Life L 50 kWh,45,12.1 sec,130 km/h,175 km,257 Wh/km,230
Nissan Ariya e-4ORCE 63kWh,63,5.9 sec,200 km/h,325 km,194 Wh/km,440
Byton M-Byte 95 kWh 2WD,95,7.5 sec,190 km/h,400 km,238 Wh/km,480
Peugeot e-Traveller Standard 50 kWh,45,13.1 sec,130 km/h,180 km,250 Wh/km,240
MG ZS EV Standard Range,48,8.6 sec,175 km/h,260 km,185 Wh/km,260
Porsche Taycan 4S Cross Turismo,83.7,4.1 sec,240 km/h,405 km,207 Wh/km,850
Citroen e-SpaceTourer XL 75 kWh,65,13.3 sec,130 km/h,250 km,260 Wh/km,290
Smart EQ fortwo cabrio,16.7,11.9 sec,130 km/h,95 km,176 Wh/km,
Peugeot e-Traveller Standard 75 kWh,68,13.3 sec,130 km/h,265 km,257 Wh/km,290
Byton M-Byte 72 kWh 2WD,72,7.5 sec,190 km/h,325 km,222 Wh/km,420
Toyota PROACE Verso M 50 kWh,45,12.1 sec,130 km/h,180 km,250 Wh/km,240
Citroen e-SpaceTourer XS 50 kWh,45,12.1 sec,130 km/h,180 km,250 Wh/km,240
Porsche Taycan Turbo Cross Turismo,83.7,3.3 sec,250 km/h,385 km,217 Wh/km,800
Opel Zafira-e Life M 75 kWh,65,13.3 sec,130 km/h,250 km,260 Wh/km,290
Toyota PROACE Verso L 50 kWh,45,12.1 sec,130 km/h,175 km,257 Wh/km,230
Opel Zafira-e Life S 50 kWh,45,12.1 sec,130 km/h,180 km,250 Wh/km,240
Citroen e-SpaceTourer XL 50 kWh,45,12.1 sec,130 km/h,175 km,257 Wh/km,230
Peugeot e-Traveller Compact 50 kWh,45,12.1 sec,130 km/h,180 km,250 Wh/km,240
Opel Zafira-e Life M 50 kWh,45,12.1 sec,130 km/h,180 km,250 Wh/km,240
Peugeot e-Traveller Long 50 kWh,45,13.1 sec,130 km/h,180 km,250 Wh/km,240
